sheet	range	group	formula	count	cached	error
تعداد فیش هرشب	D2:D575	1	CN - BN	574	20	
تعداد فیش هرشب	B3		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,4)\n      )\n    ),\n  result\n)	1	#N/A	#N/A
تعداد فیش هرشب	B4		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,4)\n      )\n    ),\n  result\n)	1	#N/A	#N/A
تعداد فیش هرشب	B5		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,4)\n      )\n    ),\n  result\n)	1	#N/A	#N/A
تعداد فیش هرشب	B6		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,4)\n      )\n    ),\n  result\n)	1	#N/A	#N/A
تعداد فیش هرشب	B7		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,4)\n      )\n    ),\n  result\n)	1	#N/A	#N/A
تعداد فیش هرشب	B8		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,4)\n      )\n    ),\n  result\n)	1	#N/A	#N/A
تعداد فیش هرشب	B9		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,4)\n      )\n    ),\n  result\n)	1	#N/A	#N/A
تعداد فیش هرشب	B10		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,4)\n      )\n    ),\n  result\n)	1	#N/A	#N/A
تعداد فیش هرشب	B11		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,4)\n      )\n    ),\n  result\n)	1	#N/A	#N/A
