sheet	range	group	formula	count	cached	error
تعداد فیش هرشب بجز سالن	B2		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,5)\n      )\n    ),\n  result\n)\n	1	#N/A	#N/A
تعداد فیش هرشب بجز سالن	D2:D585	1	CN-BN	584	#N/A	#N/A
تعداد فیش هرشب بجز سالن	B4		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,5)\n      )\n    ),\n  result\n)\n	1	#N/A	#N/A
تعداد فیش هرشب بجز سالن	B5		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,5)\n      )\n    ),\n  result\n)\n	1	#N/A	#N/A
تعداد فیش هرشب بجز سالن	B6		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,5)\n      )\n    ),\n  result\n)\n	1	#N/A	#N/A
تعداد فیش هرشب بجز سالن	B7		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,5)\n      )\n    ),\n  result\n)\n	1	#N/A	#N/A
تعداد فیش هرشب بجز سالن	B8		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,5)\n      )\n    ),\n  result\n)\n	1	#N/A	#N/A
تعداد فیش هرشب بجز سالن	B9		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,5)\n      )\n    ),\n  result\n)\n	1	#N/A	#N/A
تعداد فیش هرشب بجز سالن	B10		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,5)\n      )\n    ),\n  result\n)\n	1	#N/A	#N/A
تعداد فیش هرشب بجز سالن	B11		LET(\n  inputDate, AN,\n  sheetName, "اهداف فروش",\n  dataRange, "A:G",\n  result,\n    IF(\n      ISBLANK(inputDate),\n      "",\n      LET(\n        date, GREG_TO_JALALI(inputDate),\n        monthName, GET_JALALI_MONTH_NAME(date),\n        year, GET_JALALI_YEAR(date),\n        data, IMPORT_FROM_SHEET(SheetsFileId_Accounting_Chalebagh, sheetName, dataRange),\n        filteredData, FILTER(data, INDEX(data,,2) = monthName, INDEX(data,,3) = year),\n        INDEX(filteredData,,5)\n      )\n    ),\n  result\n)\n	1	#N/A	#N/A
